Package,ProductName,Type,VendorName,demoUrl,Category,keyFeatures,vendorId,description,supplierPrice,SellingPrice
BASIC,OneGuard Plus 1 Year,SOFTWARE,GFI Software,,Antimalware,"['Identify Suspicious Applications', 'Multi-Device Support', 'Easy of Use']",21a77015-ec6a-46f0-8f98-8b69fd3e94e1,"GFI OneGuard delivers real-time protection from the latest threats. Using agents installed on each device and managed from a central dashboard, you can control scans, updates and every aspect of virus protection.",11.55,15
BASIC,Sophos Mobile Security,SAS,Sophos,,Mobile Data Security,"['Exploit Management', 'Vulnerability Management', 'Compliance Reporting']",ec13bf86-4f9a-44ca-a2f4-e37f32d2fe14,"Sophos Mobile is the Enterprise Mobility Management (EMM) solution for businesses that want to spend less time and effort to manage and secure mobile devices. Keep Users productive, business data safe, and personal data private.",31.26,40
BASIC,Data Loss Prevention v.5 2 5.2,SOFTWARE,Trend Micro,,Data Leak Prevention,"['Full System Imaging', 'Auto-Backup', 'Secure Erase']",8eef096b-d127-43a5-ba1f-45d5f63b614e,"Trend Micro™ Integrated DLP minimizes the complexity and cost of data security by integrating DLP functionality directly into your existing Trend Micro solutions and management consoles. With a lightweight plug-in, you can quickly and easily gain visibility and control of your sensitive data and prevent data loss via USB, email, SaaS applications, web, mobile devices, and cloud storage.",23.85,30
BASIC,OneConnect Plus 1 Year,SOFTWARE,GFI Software,,Email Filter,"['Black/White List', 'Phishing Protection', 'Spam Protection']",21a77015-ec6a-46f0-8f98-8b69fd3e94e1,Advanced spam and malware protection for Exchange with virus scanning and full disaster recovery for a secure email server. GFI OneConnect archives your email and protects your network from email borne threats and costly email downtime.,9.24,15
BASIC,Identity Tracking for Identity Manager,SOFTWARE,Micro Focus Software Inc.,,Access Control,"['Application Discovery', 'Remote Remediation', 'Identify and Report Vulnerabilities']",e38a139e-7e9f-44bd-be05-0aa638c4d20c,"For IT or security administrators facing the problem of protecting critical data and maintaining continuous compliance, Identity Tracking is a real-time User activity monitoring solution that provides an easy way of knowing who is accessing key systems and take immediate corrective actions in cases of non-compliant or suspicious behavior.",2.21,5
BASIC,Archiver 1 Year,SOFTWARE,GFI Software,,Backup,"['Full System Imaging', 'Auto-Backup', 'Secure Erase']",21a77015-ec6a-46f0-8f98-8b69fd3e94e1,"With GFI Archiver, all company emails and files are automatically stored in a central, secure environment that can be accessed quickly and searched easily. Businesses gain peace of mind knowing their vital company information is stored in a safe and manageable place. Furthermore, with MailInsights® reports you can identify and resolve potential business issues such as security breaches, legal risks and productivity issues by extracting key data from your archive.",23.87,30
BALANCED,Phish Threat,SAS,Sophos,,Training,"['Email Encryption', 'Sender/ Receiver Verification', 'Encrypted Transfer']",ec13bf86-4f9a-44ca-a2f4-e37f32d2fe14,"Phishing is big business. Attacks have shown record growth in recent years, and a solid security awareness program is an integral part of any defense-in-depth strategy. Sophos Phish Threat educates and tests your end users through automated attack simulations, quality security awareness training, and actionable reporting metrics.",27.4,35
BALANCED,SOHO Network Security Firewall,HARDWARE,Sonicwall,,Host-Based Intrusion Prevention System,"['Exploit Management', 'Vulnerability Management', 'Compliance Reporting']",798aae3d-2a0b-4ec7-bad3-a8386077a3ba,"Designed for small networks including remote and branch offices, the TZ Series offers five different models that can be tuned to meet your specific needs. Advanced unified threat management (UTM) security, networking and management features plus optional 802.11ac Wi-Fi ensure your network and data are protected from the latest threats over wired and wireless connections.",277.9,360
BALANCED,Log and Event Manager,SOFTWARE,SolarWinds,,Security Information and Event Management,"[' Network Address Translation (NAT)', ' Dynamic Host Configuration Protocol (DHCP)', 'Central Management']",c50f0986-513c-4e3f-a152-a0380f96a67c,"Our all-in-one SIEM combines log management, correlation, reporting, file integrity monitoring, user activity monitoring, USB detection and prevention, threat intelligence, and active response in a virtual appliance that’s easy to deploy, manage, and use. We’ve designed our SIEM to provide the functionality you need without the complexity and cost of most other enterprise SIEM solutions.",4495,5845
BALANCED,Maximum Security for Home,SOFTWARE,Trend Micro,,Antimalware,"['Data Discovery', 'Classification', 'Data Management']",8eef096b-d127-43a5-ba1f-45d5f63b614e,"Powerful protection for up to 10 devices. Our complete protection for all the ways you connect. Avoid web threats, shield your privacy, secure your transactions, safeguard your kids and optimize perfomance.",65.28,85
